unique_id,date,price,country_code
FR1668466800,2022-11-15 00:00:00+01:00,144.85,FR
FR1668470400,2022-11-15 01:00:00+01:00,136.36,FR
FR1668474000,2022-11-15 02:00:00+01:00,136.0,FR
FR1668477600,2022-11-15 03:00:00+01:00,118.79,FR
FR1668481200,2022-11-15 04:00:00+01:00,119.2,FR
FR1668484800,2022-11-15 05:00:00+01:00,138.26,FR
FR1668488400,2022-11-15 06:00:00+01:00,165.83,FR
FR1668492000,2022-11-15 07:00:00+01:00,213.32,FR
FR1668495600,2022-11-15 08:00:00+01:00,229.26,FR
FR1668499200,2022-11-15 09:00:00+01:00,215.53,FR
FR1668502800,2022-11-15 10:00:00+01:00,203.26,FR
FR1668506400,2022-11-15 11:00:00+01:00,202.4,FR
FR1668510000,2022-11-15 12:00:00+01:00,193.46,FR
FR1668513600,2022-11-15 13:00:00+01:00,207.61,FR
FR1668517200,2022-11-15 14:00:00+01:00,224.13,FR
FR1668520800,2022-11-15 15:00:00+01:00,224.08,FR
FR1668524400,2022-11-15 16:00:00+01:00,218.61,FR
FR1668528000,2022-11-15 17:00:00+01:00,224.43,FR
FR1668531600,2022-11-15 18:00:00+01:00,219.36,FR
FR1668535200,2022-11-15 19:00:00+01:00,231.63,FR
FR1668538800,2022-11-15 20:00:00+01:00,186.85,FR
FR1668542400,2022-11-15 21:00:00+01:00,174.27,FR
FR1668546000,2022-11-15 22:00:00+01:00,154.75,FR
FR1668549600,2022-11-15 23:00:00+01:00,141.24,FR
FR1668553200,2022-11-16 00:00:00+01:00,113.41,FR
FR1668556800,2022-11-16 01:00:00+01:00,103.26,FR
FR1668560400,2022-11-16 02:00:00+01:00,114.5,FR
FR1668564000,2022-11-16 03:00:00+01:00,96.1,FR
FR1668567600,2022-11-16 04:00:00+01:00,86.48,FR
FR1668571200,2022-11-16 05:00:00+01:00,106.34,FR
FR1668574800,2022-11-16 06:00:00+01:00,160.4,FR
FR1668578400,2022-11-16 07:00:00+01:00,220.53,FR
FR1668582000,2022-11-16 08:00:00+01:00,258.65,FR
FR1668585600,2022-11-16 09:00:00+01:00,228.89,FR
FR1668589200,2022-11-16 10:00:00+01:00,210.25,FR
FR1668592800,2022-11-16 11:00:00+01:00,202.52,FR
FR1668596400,2022-11-16 12:00:00+01:00,201.74,FR
FR1668600000,2022-11-16 13:00:00+01:00,194.22,FR
FR1668603600,2022-11-16 14:00:00+01:00,209.54,FR
FR1668607200,2022-11-16 15:00:00+01:00,229.44,FR
FR1668610800,2022-11-16 16:00:00+01:00,244.85,FR
FR1668614400,2022-11-16 17:00:00+01:00,261.15,FR
FR1668618000,2022-11-16 18:00:00+01:00,240.81,FR
FR1668621600,2022-11-16 19:00:00+01:00,217.86,FR
FR1668625200,2022-11-16 20:00:00+01:00,172.62,FR
FR1668628800,2022-11-16 21:00:00+01:00,134.13,FR
FR1668632400,2022-11-16 22:00:00+01:00,110.28,FR
FR1668636000,2022-11-16 23:00:00+01:00,86.02,FR
FR1668639600,2022-11-17 00:00:00+01:00,99.57,FR
