location_id,local_date,weekday,week,month,year,location_area,location_avg_user_activity,location_avg_visit_duration,location_weighted_coordinates,location_clustered_weighted_visits,location_clustered_weighted_users,radius_avg_user_activity,radius_users,radius_visits,postal_code_area,postal_code_population,postal_code_users,postal_code_visits,city_area,city_population,city_users,city_visits,region_visits,state_users,state_visits,country_users,country_visits,visits
LOC_1,01/05/2019,4,18,5,2019,9400.102576,1.8,0.157407778,8,8,8,3.097014925,134,980,11306634.8,24234,911,5195,185467436.7,96364,2068,28721,94627,274794,6342231,1124096,30415116,3061
LOC_2,01/05/2019,4,18,5,2019,30392.11586,1,0,3,3,3,3.280701754,114,1077,2303913.86,18908,310,2826,760355511.7,503235,15000,171007,171007,56811,1132646,1124096,30415116,0
LOC_4,01/05/2019,4,18,5,2019,13908.06194,1,2.266666667,6,6,6,2.794392523,214,3049,6436573.692,18701,363,6749,1947728228,1781570,47144,777209,758564,46727,758564,1124096,30415116,3
LOC_5,01/05/2019,4,18,5,2019,5325.082761,1.571428571,5.043915238,20,22,22,2.624045802,524,4272,1792559.365,32718,995,10302,2394785746,3443746,68235,1267771,1267771,68235,1267771,1124096,30415116,1
LOC_1,02/05/2019,5,18,5,2019,9400.102576,1.68,0.909508054,28,28,28,2.847715736,197,1836,11306634.8,24234,1069,7071,185467436.7,96364,2281,37216,124769,263124,7117685,1083913,33826692,17990
LOC_2,02/05/2019,5,18,5,2019,30392.11586,1.785714286,1.692777833,32,33,33,2.906666667,150,1242,2303913.86,18908,366,3272,760355511.7,503235,16573,204571,204571,55549,1228286,1083913,33826692,19062
LOC_3,02/05/2019,5,18,5,2019,45783.95877,1.619047619,1.567056608,41,43,43,1.721893491,507,1883,10402616.06,32468,1263,13710,73156539.35,2607,4829,91445,90597,263124,7117685,1083913,33826692,20901
LOC_4,02/05/2019,5,18,5,2019,13908.06194,1.523809524,1.844557823,44,45,45,2.691318328,311,3812,6436573.692,18701,473,6070,1947728228,1781570,47302,962321,942202,46950,942202,1083913,33826692,39717
LOC_5,02/05/2019,5,18,5,2019,5325.082761,1.25,6.729271681,44,53,53,2.527165932,681,5878,1792559.365,32718,1129,11075,2394785746,3443746,65650,1565495,1565495,65650,1565495,1083913,33826692,17098
LOC_1,03/05/2019,6,18,5,2019,9400.102576,1.764705882,0.26962371,17,19,19,2.817708333,192,2215,11306634.8,24234,665,6390,185467436.7,96364,1728,33643,111325,212077,7306387,887932,35130226,17120
LOC_2,03/05/2019,6,18,5,2019,30392.11586,1.375,2.441794615,26,27,27,2.392156863,153,1027,2303913.86,18908,347,3238,760355511.7,503235,10462,197275,197275,42621,1253806,887932,35130226,18341
