,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,labels,detailedType.subTypology,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,newDevelopmentFinished
0,97358818,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/af/29/977095214.jpg,126855,27,3,104000.0,flat,sale,95.0,True,3,1,Calle Páramo,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.367347,-8.42026,False,https://www.idealista.com/inmueble/97358818/,2076,"Piso de 95 m² en A Coruña. Por el espacio que te ofrece, este piso es ideal para una familia con hijos.  Se encuentra en un 3º piso sin ascensor y dispone de amplio y luminoso salón, cocina amueblada, totalmente independiente del resto de estancias y equipada con electrodomésticos, tres dormitorios y cuarto de baño completo. Además, el piso cuenta con una práctica galería para aumentar el espacio. El inmueble es todo exterior, con vistas a la Torre de Hércules y la playa de Orzan.  Con orientación oeste, disfrutarás del sol por las tardes, el momento en el que la casa resulta especialmente acogedora. La vivienda se vende sin amueblar y en buen estado, lista para comenzar la mudanza. En cuanto a las calidades, este piso cuenta con calefacción eléctrica, carpintería exterior de aluminio y suelos de tarima, que da mucha calidez a la vivienda.  Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús y la estación de tren. Para mayor comodidad, la vivienda se encuentra muy cerca de un centro médico, un colegio y todos los servicios necesarios.  De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o2u6s8e5l5l.",False,good,False,False,1095.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en Calle Páramo,,,,,,,
1,97422652,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/4b/5a/978963781.jpg,556710,26,3,104000.0,flat,sale,85.0,True,3,1,Calle Páramo,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.366747,-8.42036,False,https://www.idealista.com/inmueble/97422652/,2119,"Espléndido piso en A Coruña Housfy, compraventa entre particulares. Se vende piso en A Coruña, una vivienda luminosa y ubicada en un entorno idóneo para disfrutarlo. El espléndido piso fue construido en el año 1971 en Agra del Orzán - Ventorrillo. Consta de 85 m2 muy bien distribuidos. Características: - Estupendo piso de 85 m2 en Agra del Orzán - Ventorrillo. (Los metros cuadrados están verificados con la Dirección General de Catastro) - La vivienda dispone de 3 habitaciones y 1 baño, perfecto para una familia. - Confortable comedor que es un lugar perfecto para descansar tras una jornada de trabajo. - Terraza. - Exterior. - Además dispone de armario empotrado. - Con una adecuada cocina en buen estado, equipada con lo necesario para el día a día. Sobre la ubicación, se encuentra en A Coruña, municipio de A Coruña. Con todos los servicios que puedas necesitar para facilitar tus días en todo momento. Sobre nosotros: Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda vender la propiedad por su cuenta. Para más información, visítenos en housfy. com. AICAT número: 7922.",True,good,False,False,1224.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en Calle Páramo,,,,,,,
2,96363274,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/f1/a2/945007276.jpg,B197,32,18,195000.0,flat,sale,109.0,True,3,2,Avenida de Oza,A Coruña,A Coruña,Los Castros - Castrillón,es,43.351287,-8.3902033,False,https://www.idealista.com/inmueble/96363274/,2969,"A la entrada de La Coruña, en el tradicional barrio de Los Castros, nos encontramos con este fantástico piso de más de 100 metros cuadrados, desde el que vemos toda la ciudad.  Se trata de una planta 18 con inmejorables vistas. Por si fuera poco, dispone de una gran terraza comunitaria rodeada de mar que hace las delicias de solarium. La vivienda consta de 3 amplios dormitorios, uno de ellos con aseo; baño, cocina y espacioso salón con grandes ventanales. Llama la atención la cantidad de luz de la que dispone de forma natural.  Su calefacción central hace que el piso esté siempre a una temperatura perfecta.  Además dispone de portero físico y accesos adaptados.  En cuanto a servicios, contamos con colegio público y concertado en la zona, además de instituto de secundaria, pabellón polideportivo, centro cívico y de salud. La compañía de tranvías lo dota con diferentes líneas para una buena comunicación con toda la ciudad, además de parada de taxis al comienzo de la avenida.  Si quieres vivir en la ciudad, rodeado de mar y con inmejorables vistas... no lo dudes y ven a visitarlo. [IW].",False,good,False,True,1789.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en Avenida de Oza,,,,,,,
3,98951857,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/ff/bb/1029238412.jpg,08629,16,2,80000.0,flat,sale,60.0,False,2,1,Monte Alto - Zalaeta - Atocha,A Coruña,A Coruña,Monte Alto - Zalaeta - Atocha,es,43.3816913,-8.4012427,False,https://www.idealista.com/inmueble/98951857/,535,"_Estupendo apartamento en Monte Alto, zona muy tranquila. A un paso de Avenida de Hércules. Zona muy demandada en alquiler. Ideal tanto para inversión como para vivienda habitual. Segunda planta sin ascensor. Una de las estancias es exterior, el resto da a un patio muy luminoso. _El piso consta de 60m2 útiles distribuidos actualmente en cocina independiente totalmente equipada, dos dormitorios amplios y un baño completo con plato de ducha. Anexo a uno de los dormitorios se encuentra un comedor con ventana a otro patio. Hay varias posibilidades de distribución, lo ideal es visitarlo. _Actualmente consta de gas butano, las ventanas con doble acristalamiento tipo climalit de corredera, salvo las de un dormitorio. Para más información no dudes en llamarnos. ENSEÑA ASINMO.",False,good,False,False,1333.0,False,False,False,False,False,False,flat,"Monte Alto - Zalaeta - Atocha, A Coruña",Piso,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",,,,,,
4,99137849,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/79/1c/1037076097.jpg,,29,5,105000.0,flat,sale,76.0,False,3,1,"Ronda Outeiro, 144",A Coruña,A Coruña,Os Mallos,es,43.3551979,-8.4114619,True,https://www.idealista.com/inmueble/99137849/,2670,"PISO VENTA RONDA DE OUTEIRO 144, situado en planta 5 IDEAL COMO INVERSIÓN CON BUENA RENTABILIDAD. EN ZONA MUY DEMANDADA EN ALQUILER A ESTUDIANTES. PRÓXIMO A LA FUTURA ESTACIÓN INTERMODAL, CAMPUS DEL VIÑA ETC. Es un piso de tres habitaciones, dos italianas y una individual. Salón, cocina, baño y despensa. El baño completo, con plato de ducha y con luz natural, tiene ventana. ES UN PISO INTERIOR, PERO LE DA EL SOL. Ventanas oscilobatientes. Tiene Ascensor. Portal con salvaescaleras. Se pagan 50 euros de comunidad. Zona con todos los servicios alrededor, supermercados, colegios, pabellones deportivos, estación de tren y buses, cerca, próximo al campus del Viña. Zona muy demandada de alquiler a estudiantes. Desde HOUSE BY CLICK, lo invitamos a realizar una visita, no dudes en contactarnos para que recibas información personalizada. ""Este anuncio se muestra a título informativo y no contractual. "".",False,good,False,True,1382.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña","Piso en Ronda Outeiro, 144",,,,,,,
5,98015346,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/88/56/998217387.jpg,,42,8,200000.0,flat,sale,140.0,True,4,2,"Avenida de Oza, 222",A Coruña,A Coruña,Los Castros - Castrillón,es,43.3524925,-8.3894424,True,https://www.idealista.com/inmueble/98015346/,2854,"ESTUPENDO PISO, MUY AMPLIO, EXTERIOR, SOLEADO Y CON ASCENSOR. Esta vivienda consta de cuatro dormitorios amplios, dos baños completos con luz natural.  La cocina con sus electrodomésticos, horno, lavadora, microondas y nevera. Los baños completos con ducha los dos y muy amplios.  El piso esta parcialmente reformado, suelos en parque clarito, haciendo juego con las puertas.  Muy clarito y soleado por su orientación. Le da el sol todo el día. Esta para entrar a vivir, pero si esta buscando una inversión es excelente, pues la zona es muy demandada por estudiantes de enfermería y fisioterapia, ya q están las universidades al lado.  La vivienda esta en la ultima planta del edificio. Tiene un trastero bastante amplio con suelo en zonas comunes y dentro del trastero de baldosa. Queda encima mismo de la vivienda. De comunidad se pagan 50 euros. La zona esta muy bien comunicada, tiene al lado supermercados, colegios, centro deportivo San Diego, Parque para pasear y poder si se quiere ir en bicicleta, etc. No lo dude y visítelo, como inversión es ideal.  Estaremos encantados de enseñárselo. Este anuncio no es vinculante, puede contener errores. Se muestra a titulo informativo y no contractual.",False,good,False,True,1429.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña","Piso en Avenida de Oza, 222",,,,,,,
6,93642827,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/ba/36/868093844.jpg,3969B,21,5,110000.0,flat,sale,60.0,False,2,1,"Calle Pedroso, 15",A Coruña,A Coruña,Os Mallos,es,43.3529078,-8.4140915,True,https://www.idealista.com/inmueble/93642827/,2990,"Se vende 5º piso reformado a estrenar en Calle Pedroso, zona Mallos-Vioño. Se trata de un atico interior luminoso con amplio ascensor en edificio con nuevo portal adaptado. Sus 60 m2 se distribuyen en salon, nueva cocina totalmente equipada con office-comedor, 2 buenos dormitorios y baño completo con ducha. Recien reformado con buenas calidades, ventanas climalit, instalaciones nuevas, tarima... El ascensor de 6 plazas es nuevo y el edificio se ha adaptado a personas con movilidad reducida. Buena zona, al lado del centro de Salud, Parque de Vioño y todos los servicios. inmotk. com.",False,good,False,True,1833.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña","Piso en Calle Pedroso, 15",,,,,,,
7,98508410,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/a5/99/1014740215.jpg,22/063,15,5,115000.0,flat,sale,54.0,True,3,1,Calle Valencia,A Coruña,A Coruña,Monte Alto - Zalaeta - Atocha,es,43.3806695,-8.4002011,False,https://www.idealista.com/inmueble/98508410/,398,"CALLE VALENCIA (MONTEALTO - ADORMIDERAS). - A LA VENTA DOS VIVIENDAS- Se vende piso en la calle Valencia. Se trata de un Quinto sin ascensor con una superficie útil de 47.35 metros cuadrados. Consta de un dormitorio que da a la calle, otro dormitorio interior al que le entra luz desde el salón, salón, cocina y cuarto de baño. El piso está recién reformado y se encuentra apto para vivir. En el precio se incluye la Sexta plata, con licencia de vivienda, con una superficie útil de 33.45 metros cuadrados y una terraza de 9.35 metros cuadrados. Esta vivienda consta de salón, cocina, cuarto de baño y aseo. Nuestros asesores inmobiliarios están especializados por zonas para poder darle el mejor servicio y que el inmueble que usted compre esté a un precio de mercado adecuado. Además verificamos todos los datos de los inmuebles (metros, antigüedad, calidades, etc. ) y con cada visita le entregamos una ficha (con todas las características, un plano, información de la zona y los gastos adicionales al precio de compra). Horario de 10.00 a 14.00 y de 16.00 a 20.00 de lunes a viernes. Este anuncio no es vinculante (puede contener errores). Se muestra a título informativo y no contractual. Entrando en nuestra página web podrás ver la ficha técnica con todos los datos del inmueble y un plano de distribución con los metros cuadrados de cada estancia. También podrás almacenar una búsqueda y recibirás cada semana en tu email los inmuebles que se adapten a tus criterios.",False,good,False,False,2130.0,True,False,False,False,False,False,flat,"Monte Alto - Zalaeta - Atocha, A Coruña",Piso en Calle Valencia,,,,,,,
8,98749461,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/1c/dc/1022485844.jpg,199,14,5,110000.0,flat,sale,69.0,True,2,1,Vereda Polvorín,A Coruña,A Coruña,Monte Alto - Zalaeta - Atocha,es,43.3799486,-8.4016728,False,https://www.idealista.com/inmueble/98749461/,389,"Luminosa vivienda de dos dormitorios ubicada en una de las zonas más demandadas del barrio de Montealto, amueblado y semirreformado. Se distribuye en salón-comedor, cocina equipada con electrodomésticos, dos dormitorios muy luminosos y baño con plato de ducha. Todas las estancias son exteriores incluido el baño. Actualmente con inquilino, rentabilidad entorno al 5%. QUINTO SIN ASCENSOR. Para más información no dude en contactar con nosotros.",False,good,False,False,1594.0,False,False,False,False,False,False,flat,"Monte Alto - Zalaeta - Atocha, A Coruña",Piso en Vereda Polvorín,,,,,,,
9,98749928,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/df/b4/1022500513.jpg,,23,3,135000.0,flat,sale,75.0,True,2,1,"Avenida de Oza, 57",A Coruña,A Coruña,Los Castros - Castrillón,es,43.3541565,-8.3954886,True,https://www.idealista.com/inmueble/98749928/,2584,"RENTALOO vende en exclusiva esta propiedad en la avenida de Oza en La Coruña, muy bien comunicado y próximo a servicios tales como supermercados, farmacias, centros comerciales, restaurantes, etc. El piso cuenta con dos dormitorios, cocina, baño completo y un salón, el pasillo cuenta con acumuladores eléctricos de gran calidad y una despensa muy amplia. Las ventanas en la casa se encuentran muy bien conservadas y son de pvc y aluminio. La vivienda incluye puerta de seguridad, electrodomésticos a excepción de horno, lavavajillas y lavadora, un tendal cubierto y un trastero reformado como dormitorio suite en la última planta del edificio. Anualmente se paga un IBI de alrededor de 180euros, no se tiene constancia de derrama alguna en la comunidad.",True,good,False,False,1800.0,True,True,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña","Piso en Avenida de Oza, 57",,,,,,,
