,propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,detailedType.subTypology,labels,parkingSpace.parkingSpacePrice,newDevelopmentFinished
0,95334761,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/94/56/1041644812.jpg,18,2,148000.0,flat,sale,93.0,True,4,2,Oza,A Coruña,A Coruña,Los Castros - Castrillón,es,43.3543389,-8.3934184,False,https://www.idealista.com/inmueble/95334761/,2586,Piso en edificio totalmente rehabilitado con máximas calidades y diseñado por decorador. Área con todos los servicios y bien comunicada. Excelente distribución y luminoso. Una ocasión única de vivir en una zona noble de la Coruña. No dudes en llamar y visitarlo.,False,good,False,False,1591.0,True,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en Oza,,,,,,,,
1,95313523,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/32/7f/1107766630.jpg,9,5,145000.0,flat,sale,56.0,False,1,1,Los Castros - Castrillón,A Coruña,A Coruña,Los Castros - Castrillón,es,43.35128,-8.39093,False,https://www.idealista.com/inmueble/95313523/,2957,"Piso a estrenar en los Castros. 56m2 distribuidos en 1 dormitorio con armario empotrados, 1 cuarto de baño completo, cocina independiente amueblada y equipada y amplio salón comedor. Suelos de parquet y gres y calefacción por gas natural. Incluye plaza de garaje y trastero en el precio. Área con todos los servicios en su entorno como: bancos, bibliotecas, farmacias, oficinas de correos, centros escolares y deportivos y muy bien comunicado con el centro de la ciudad a través de bus urbano. Llámenos para solicitar una visita sin compromiso.",False,good,False,True,2589.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso,10006,True,True,,,,,
2,100677141,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/68/fa/43/1095400982.jpg,45,bj,210000.0,duplex,sale,105.0,False,2,2,Doctor Fleming,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3591766,-8.4062608,False,https://www.idealista.com/inmueble/100677141/,2110,"A CORUÑA. CENTRO.  CALLE DOCTOR FLEMING. A ESCASOS METROS DE JUAN FLÓREZ. Inmueble adecuado para profesionales que quieran montar su oficina con uso mixto local-vivienda. Edificio del año 2022 sin barreras arquitectónicas. Dúplex ubicado en la planta baja del edificio, con 105 m2 construidos (95 m2 útiles).  Se distribuye en 2 dormitorios, 2 baños, amplio recibidor de entrada y salón con cocina americana totalmente equipada. Calidades: -Ventanas de PVC con aislamiento térmico. -Suelos de tarima en estancias secas y gres porcelánico en zonas húmedas. -Carpintería lacada en blanco. -Calefacción mediante emisores eléctricos sin fluido térmico, digitales y programables.  -Iluminación LED. -Videoportero. -Puerta blindada con cerradura de seguridad. Cocina: -Frente de cocina amueblado con elementos altos y bajos de alta calidad, muebles hidrófugos y herrajes INOX. -Encimera de Silestone con fregadero sobre encimera y grifería monomando. -Electrodomésticos: Horno, placa inducción, microondas, campana extractora,   combi, lavavajillas y lavadora-secadora. Si desea visitarlo ó ampliar información puede contactar con nosotros en el  Más inmuebles en idealista. com/pro/juan-mauriz.",True,good,False,True,2000.0,False,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña",Dúplex en Doctor Fleming,JM-335,,,Falperra-Santa Lucía,duplex,,,
3,100006630,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/5f/6f/1064658967.jpg,24,bj,210000.0,duplex,sale,105.0,False,2,2,Doctor Fleming,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3611103,-8.4091615,False,https://www.idealista.com/inmueble/100006630/,1995,Gran Dúplex con excelentes calidades. Una ubicación privilegiada a 50 metros de Juan Flórez y 150 metros de plaza de Vigo. Cocina amueblada y equipada con todos los electrodomésticos. 2 baños completos con muebles en lavamanos y mamparas Amplio salón comedor. Un capricho que te mereces. No dudes en llamar.,False,good,False,True,2000.0,False,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña",Dúplex en Doctor Fleming,,,,Falperra-Santa Lucía,duplex,,,
4,99233416,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/05/49/1048835439.jpg,20,,210000.0,duplex,sale,80.0,False,2,2,barrio Falperra-Santa Lucía,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3588856,-8.4066074,False,https://www.idealista.com/inmueble/99233416/,2149," precioso duplex a estrenar con cocina y baños totalmente equipados y amueblados. Planta principal con amplia cocina, salon-comedor y baño. Planta alta. 2 dormitorios con armarios empotrados forrados y divididos y baño.   informate y visitalo sin compromiso. Esta dado de alta como bajo.",False,good,False,False,2625.0,False,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña",Dúplex,10876,,,Falperra-Santa Lucía,duplex,,,
5,100763565,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/31/2e/1098097903.jpg,12,,55000.0,penthouse,sale,85.0,True,3,1,Os Mallos,A Coruña,A Coruña,Os Mallos,es,43.3547996,-8.4137038,False,https://www.idealista.com/inmueble/100763565/,2786,"ABBA INVERSIONES presenta esta fantástica oportunidad de inversión en una de las zonas mas demandadas de la ciudad. El Ático se encuentra ubicado a escasos metros de la estación de tren que dentro de poco se convertirá en la nueva estación intermodal de la ciudad que unirá la estación de tren y de buses, conexión directa con las principales entradas y salidas de la ciudad. Todos los servicios necesarios cerca: Supermercados, colegios, paradas de bus y taxi, etc.. . El Ático se distribuye en cocina independiente con zona de lavanderia, baño completo, salon con salida a una terraza muy luminosa y 3 habitaciones muy luminosas y amplias. Destaca por su buena orientación y luminosidad.",False,good,False,False,647.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña",Ático,ATC0003,,,,penthouse,,,
6,100703396,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c4/ae/35/1096265371.jpg,20,bj,170000.0,flat,sale,78.0,True,3,1,Calle Míster Archer Milton Huntington,A Coruña,A Coruña,Riazor - Los Rosales,es,43.3725762,-8.4218823,False,https://www.idealista.com/inmueble/100703396/,1959,"Precioso piso 78 m² totalmente exterior de 3 habitaciones con vistas al mar en zona de Ciudad Escolar en la ciudad de A Coruña, el edificio cuenta con ascensor. A continuación, te detallamos la distribución del piso para que puedas conocer su composición: -Salón -Cocina totalmente equipada -3 habitaciones -1 cuarto de baño -Tendedero exterior El piso está magníficamente situado en la Calle Míster Archer Milton Huntington a 1 minuto a pie de la playa de Riazor, a 5 minutos del centro de A Coruña, esto lo hace ideal, ya que se encuentra rodeado de colegios, museos, variedad de servicios y negocios, centro médico, muy buena comunicación mediante medios de transporte, a 2 minutos de la autovía A-6 y Tercera Ronda, etc. La opción perfecta si quieres una vivienda al lado de la playa, céntrica y con todos los servicios del día a día cerca! Solicita ahora tu visita y déjate deleitar con la amplitud de esta vivienda. ¡Te esperamos! Ref. BH-3242.",False,good,False,True,2179.0,False,False,False,False,False,False,flat,"Riazor - Los Rosales, A Coruña",Piso en Calle Míster Archer Milton Huntington,BH-3242,,,,,,,
7,101072545,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/9e/6b/1109093299.jpg,15,9,190000.0,flat,sale,85.0,True,2,2,Calle José Pascual López-Cortón,A Coruña,A Coruña,Someso - Matogrande,es,43.3348211,-8.4079176,False,https://www.idealista.com/inmueble/101072545/,4783,"SOMESO CENTRO COMERCIAL- OBRA NUEVA - A ESTRENAR.  Vivienda totalmente exterior de 2 dormitorios, 2 baños, plaza de garaje y trastero.    La vivienda se presenta con un amplio salón comedor.  Cocina independiente, amueblada, columna de calor con horno y microondas, frigo combi, vitrocerámica, lavavajillas, campana decorativa. Con electrodomésticos Siemens, encimera silestone y más prestaciones.. .  Zona de lavandería en tendedero.    2 dormitorios con armarios empotrados.  2 baños, uno incorporado en dormitorio principal, con bañera en dormitorio principal y columna hidromasaje en pasillo.  Toalleros calefactados. sanitarios marca Roca y grifería monomando Grohe.    Plaza de garaje y trastero.    En cuanto a los acabados de la vivienda, de total calidad y actualidad.  La carpintería exterior en aluminio con ventanas de doble cristal y rotura de puente térmico.  Persianas motorizadas con caja practicable.  Acabados en roble para carpintería interior.  Solado de tarima con acabado en roble para salón pasillo y dormitorios, zonas húmedas en gres y cerámico de primera calidad.  En edifico con video portero, video vigilancia perimetral e interior del edificio.  Domótica con alarma antirrobo.  Preinstalación TV en salón de estar, cocina y todos los dormitorios.  Preinstalación comunitaria e individual para todas las plataformas digitales.  Una vivienda a estrenar de máxima calidad, con todas la comodidades y situada en un emplazamiento a pie del centro comercial Espacio Coruña, a un paso de Carrefour.  Sin barreras arquitectónicas.    A un escaso paseo de del Campus Universitario de Elviña.  Excelente ubicación para cualquier desplazamiento ya sea los principales polígonos industriales o al centro de la ciudad.  Con buen servicio de de buses urbanos o escolares, en barrio joven y en pleno desarrollo.",False,good,False,True,2235.0,True,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Calle José Pascual López-Cortón,VE3333,True,True,,,,,
8,100912573,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/11/61/e3/1103151094.jpg,43,2,300000.0,flat,sale,129.0,True,4,2,Avenida Ejército,A Coruña,A Coruña,Cuatro Caminos - Plaza de la Cubela,es,43.358514,-8.3999536,False,https://www.idealista.com/inmueble/100912573/,2092,"VISTAS DESPEJADAS, trastero y GARAJE en el mismo edificio, luminoso y SOLEADO, 4 dormitorios dobles, 2 baños. Presentamos esta magnífica y amplia vivienda, perfecta para ser tu nuevo hogar. Accedemos a través de un pequeño recibidor con dos armarios empotrados, ideales para guardar abrigos, bolsos… Por un lado tenemos el amplio salón comedor, con espacio para mesa de comedor en la que reunirse con amigos y familia, y una amplia zona de sofá, descanso, etc. Cuenta con un gran ventanal que inunda la estancia de luz y de sol, con vistas despejadas, ya que no hay ningún edificio delante. Justo enfrente del salón, tenemos la amplia cocina, con zona de lavandería y tendal. A continuación tenemos los CUATRO amplios dormitorios con armarios empotrados (todos válidos para cama de matrimonio) y dos cuartos de baño, con la posibilidad de anexar uno de ellos a uno de los dormitorios. Para completar esta fantástica vivienda, disponemos además de PLAZA DE GARAJE en el mismo edificio y amplio trastero. Ubicada en pleno CUATRO CAMINOS, una zona que cotiza al alza, completamente llana, repleta de zonas verdes e infantiles (Fábrica de Tabacos, Parque Europa…) comercial (Corte Inglés, Cuatro Caminos…) con todos los servicios a escasos metros del portal, y excelentemente comunicada a través de transporte público como privada. Para más información o para concertar una cita para VISITARLO sin compromiso, le atendemos en nuestra oficina ubicada en la calle Pastor Díaz, número 24, a través del teléfono o a través de WhatsApp en el  Este anuncio no es vinculante, puede contener errores. Se muestra a título informativo y no contractual.",True,good,False,True,2326.0,True,False,True,True,False,False,flat,"Cuatro Caminos - Plaza de la Cubela, A Coruña",Piso en Avenida Ejército,IF166,True,True,,,,,
9,95636332,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/77/f4/923977132.jpg,23,2,135000.0,flat,sale,100.0,True,3,1,Calle Violetas,A Coruña,A Coruña,Someso - Matogrande,es,43.34169,-8.40243,False,https://www.idealista.com/inmueble/95636332/,3972,"Ref. 7038 BARRIO DE LAS FLORES CON PLAZA DE GARAJE  Piso reformado de 100 metros totalmente amueblado y con ámplia plaza de garaje Consta de amplísimo salón comedor, cocina americana y totalmente equipada con electrodomésticos, 3 dormitorios,  todos ellos con armarios y 1 baño completo con plato de ducha. Totalmente exterior, sol todo el día. Cuenta con suelos laminados de tarima flotante. Buena ubicación en zona tranquila con todos los servicios a mano. A 2 minutos andando de Matogrande y del colegio Liceo la Paz. Si quieres más información y/o concertar una visita, llámanos al o pasa por nuestra oficina en Plaza de Vigo (Calle Menéndez y Pelayo, 12, Bajo). Para encontrar más alternativas  .",True,good,False,False,1350.0,False,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Calle Violetas,07038,True,True,,,,,
