,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,labels,neighborhood,parkingSpace.parkingSpacePrice,newDevelopmentFinished
0,97358818,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/af/29/977095214.jpg,126855,27,3,104000.0,flat,sale,95.0,True,3,1,Calle Páramo,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.367347,-8.42026,False,https://www.idealista.com/inmueble/97358818/,2076,"Piso de 95 m² en A Coruña. Por el espacio que te ofrece, este piso es ideal para una familia con hijos.  Se encuentra en un 3º piso sin ascensor y dispone de amplio y luminoso salón, cocina amueblada, totalmente independiente del resto de estancias y equipada con electrodomésticos, tres dormitorios y cuarto de baño completo. Además, el piso cuenta con una práctica galería para aumentar el espacio. El inmueble es todo exterior, con vistas a la Torre de Hércules y la playa de Orzan.  Con orientación oeste, disfrutarás del sol por las tardes, el momento en el que la casa resulta especialmente acogedora. La vivienda se vende sin amueblar y en buen estado, lista para comenzar la mudanza. En cuanto a las calidades, este piso cuenta con calefacción eléctrica, carpintería exterior de aluminio y suelos de tarima, que da mucha calidez a la vivienda.  Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús y la estación de tren. Para mayor comodidad, la vivienda se encuentra muy cerca de un centro médico, un colegio y todos los servicios necesarios.  De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o2u6s8e5l5l.",False,good,False,False,1095.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en Calle Páramo,,,,,,,
1,97422652,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/4b/5a/978963781.jpg,556710,26,3,104000.0,flat,sale,85.0,True,3,1,Calle Páramo,A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.366747,-8.42036,False,https://www.idealista.com/inmueble/97422652/,2119,"Espléndido piso en A Coruña Housfy, compraventa entre particulares. Se vende piso en A Coruña, una vivienda luminosa y ubicada en un entorno idóneo para disfrutarlo. El espléndido piso fue construido en el año 1971 en Agra del Orzán - Ventorrillo. Consta de 85 m2 muy bien distribuidos. Características: - Estupendo piso de 85 m2 en Agra del Orzán - Ventorrillo. (Los metros cuadrados están verificados con la Dirección General de Catastro) - La vivienda dispone de 3 habitaciones y 1 baño, perfecto para una familia. - Confortable comedor que es un lugar perfecto para descansar tras una jornada de trabajo. - Terraza. - Exterior. - Además dispone de armario empotrado. - Con una adecuada cocina en buen estado, equipada con lo necesario para el día a día. Sobre la ubicación, se encuentra en A Coruña, municipio de A Coruña. Con todos los servicios que puedas necesitar para facilitar tus días en todo momento. Sobre nosotros: Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda vender la propiedad por su cuenta. Para más información, visítenos en housfy. com. AICAT número: 7922.",True,good,False,False,1224.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña",Piso en Calle Páramo,,,,,,,
2,97504416,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/58/ca/1014252700.jpg,31747,29,5,212000.0,duplex,sale,137.0,True,4,2,Calle Cerca,A Coruña,A Coruña,Los Castros - Castrillón,es,43.3501046,-8.3987506,False,https://www.idealista.com/inmueble/97504416/,3023,"Gran hogar con todo lo que puedas pedir en Coruña! Amplio dúplex con terraza, plaza de garaje, plaza de moto, trastero, ascensor y vistas al mar!  En el reportaje, verás muchas ventanas, luz y vistas. Disfruta de una panorámica de Coruña que te atrapará en cada atardecer.  Piso exterior, tranquilo y acogedor, que ocupa parte de la quinta y sexta planta del edificio en el que se ubica, con vistas al mar, que alcanzan desde el monte De San Pedro, hasta el puerto de La Coruña. Muy cuidado, con zonas diferenciadas de día y de noche.   Este dúplex se distribuye en hall de entrada, salón comedor, amplia cocina, completamente equipada, y baño completo en la planta baja; comunicado por las escaleras, llegamos a la planta alta, distribuida en cuatro dormitorios, tres de ellos dobles y un baño. En uno de los dormitorios se ha instalado una estantería y su uso actual es de sala, el resto tienen armarios empotrados.  Desde dos de los dormitorios se accede a las terrazas, una pequeña, descubierta, y la más larga, cubierta, y con tendedero. Desde ambas, disfrutamos de vistas al mar.  La carpintería exterior es climalit, la calefacción por acumuladores, los suelos de madera natural y gres. Tiene ascensor a cota cero. Se vende con todos los muebles. Cuenta además con amplia plaza de garaje para coche, otra para moto y trastero. Todo en el mismo edificio.  Se ubica en la calle paralela a la avenida de la Concordia, próxima a amplias zonas verdes, como la plaza de Pablo Iglesias, siendo una amplia zona de ocio, con una gran esplanada y una gran fuente, que alberga también el edificio del Centro Cívico de O Castrillón, punto de encuentro a los vecinos del barrio, en el que se puede disfrutar de múltiples servicios, sociales y de ocio, y el parque infantil para varias edades, pistas deportivas y una zona de merendero. El parque de Eris, que posee una gran pérgola donde resguardarte del sol o la lluvia, con bancos para descansar o merendar. Incluye muchas zonas infantiles, y desde luego la que más destaca, es la zona de la escalada y toboganes, también hay tirolinas, zona de skate y un gran estanque con patos.  En el parque podemos encontrar el castillo de Eirís, declarado Bien de Interés Cultural y desde dónde podemos tener unas vistas estupendas del puerto de A Coruña. Recientemente se inaguró una zona de más de 3.500 metros cuadrados especial para perros, que dispone de zona de lavado y de circuitos para jugar/adiestrar nuestras mascotas. El parque de Oza, cuenta sus 55.000 metros cuadrados, es un importante pulmón verde de la ciudad que además cuenta con varias zonas infantiles y deportivas. A un paso también del puerto deportivo y la playa de Oza.  Dispone de todos los equipamientos y servicios a pie de calle, comercio básico, cafetería, restaurante, farmacia, y centro de salud a pocos metros. Bien comunicado para entrar y salir de la ciudad.  El propietario nos han confiado la venta de esta propiedad. Disponemos de toda la información necesaria para garantizar a los interesados la total transparencia en la gestión.   Si es agente inmobiliario y tiene un cliente interesado, llámenos y colaboraremos.",False,good,False,True,1547.0,True,False,True,True,False,False,flat,"Los Castros - Castrillón, A Coruña",Dúplex en Calle Cerca,True,True,duplex,,,,
3,96363274,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/f1/a2/945007276.jpg,B197,32,18,195000.0,flat,sale,109.0,True,3,2,Avenida de Oza,A Coruña,A Coruña,Los Castros - Castrillón,es,43.351287,-8.3902033,False,https://www.idealista.com/inmueble/96363274/,2969,"A la entrada de La Coruña, en el tradicional barrio de Los Castros, nos encontramos con este fantástico piso de más de 100 metros cuadrados, desde el que vemos toda la ciudad.  Se trata de una planta 18 con inmejorables vistas. Por si fuera poco, dispone de una gran terraza comunitaria rodeada de mar que hace las delicias de solarium. La vivienda consta de 3 amplios dormitorios, uno de ellos con aseo; baño, cocina y espacioso salón con grandes ventanales. Llama la atención la cantidad de luz de la que dispone de forma natural.  Su calefacción central hace que el piso esté siempre a una temperatura perfecta.  Además dispone de portero físico y accesos adaptados.  En cuanto a servicios, contamos con colegio público y concertado en la zona, además de instituto de secundaria, pabellón polideportivo, centro cívico y de salud. La compañía de tranvías lo dota con diferentes líneas para una buena comunicación con toda la ciudad, además de parada de taxis al comienzo de la avenida.  Si quieres vivir en la ciudad, rodeado de mar y con inmejorables vistas... no lo dudes y ven a visitarlo. [IW].",False,good,False,True,1789.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en Avenida de Oza,,,,,,,
4,98951857,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/ff/bb/1029238412.jpg,08629,16,2,80000.0,flat,sale,60.0,False,2,1,Monte Alto - Zalaeta - Atocha,A Coruña,A Coruña,Monte Alto - Zalaeta - Atocha,es,43.3816913,-8.4012427,False,https://www.idealista.com/inmueble/98951857/,535,"_Estupendo apartamento en Monte Alto, zona muy tranquila. A un paso de Avenida de Hércules. Zona muy demandada en alquiler. Ideal tanto para inversión como para vivienda habitual. Segunda planta sin ascensor. Una de las estancias es exterior, el resto da a un patio muy luminoso. _El piso consta de 60m2 útiles distribuidos actualmente en cocina independiente totalmente equipada, dos dormitorios amplios y un baño completo con plato de ducha. Anexo a uno de los dormitorios se encuentra un comedor con ventana a otro patio. Hay varias posibilidades de distribución, lo ideal es visitarlo. _Actualmente consta de gas butano, las ventanas con doble acristalamiento tipo climalit de corredera, salvo las de un dormitorio. Para más información no dudes en llamarnos. ENSEÑA ASINMO.",False,good,False,False,1333.0,False,False,False,False,False,False,flat,"Monte Alto - Zalaeta - Atocha, A Coruña",Piso,,,,"[{'name': 'apartamentoType', 'text': 'Apartamento'}]",,,
5,99137849,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/79/1c/1037076097.jpg,,29,5,105000.0,flat,sale,76.0,False,3,1,"Ronda Outeiro, 144",A Coruña,A Coruña,Os Mallos,es,43.3551979,-8.4114619,True,https://www.idealista.com/inmueble/99137849/,2670,"PISO VENTA RONDA DE OUTEIRO 144, situado en planta 5 IDEAL COMO INVERSIÓN CON BUENA RENTABILIDAD. EN ZONA MUY DEMANDADA EN ALQUILER A ESTUDIANTES. PRÓXIMO A LA FUTURA ESTACIÓN INTERMODAL, CAMPUS DEL VIÑA ETC. Es un piso de tres habitaciones, dos italianas y una individual. Salón, cocina, baño y despensa. El baño completo, con plato de ducha y con luz natural, tiene ventana. ES UN PISO INTERIOR, PERO LE DA EL SOL. Ventanas oscilobatientes. Tiene Ascensor. Portal con salvaescaleras. Se pagan 50 euros de comunidad. Zona con todos los servicios alrededor, supermercados, colegios, pabellones deportivos, estación de tren y buses, cerca, próximo al campus del Viña. Zona muy demandada de alquiler a estudiantes. Desde HOUSE BY CLICK, lo invitamos a realizar una visita, no dudes en contactarnos para que recibas información personalizada. ""Este anuncio se muestra a título informativo y no contractual. "".",False,good,False,True,1382.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña","Piso en Ronda Outeiro, 144",,,,,,,
6,98015346,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/88/56/998217387.jpg,,42,8,200000.0,flat,sale,140.0,True,4,2,"Avenida de Oza, 222",A Coruña,A Coruña,Los Castros - Castrillón,es,43.3524925,-8.3894424,True,https://www.idealista.com/inmueble/98015346/,2854,"ESTUPENDO PISO, MUY AMPLIO, EXTERIOR, SOLEADO Y CON ASCENSOR. Esta vivienda consta de cuatro dormitorios amplios, dos baños completos con luz natural.  La cocina con sus electrodomésticos, horno, lavadora, microondas y nevera. Los baños completos con ducha los dos y muy amplios.  El piso esta parcialmente reformado, suelos en parque clarito, haciendo juego con las puertas.  Muy clarito y soleado por su orientación. Le da el sol todo el día. Esta para entrar a vivir, pero si esta buscando una inversión es excelente, pues la zona es muy demandada por estudiantes de enfermería y fisioterapia, ya q están las universidades al lado.  La vivienda esta en la ultima planta del edificio. Tiene un trastero bastante amplio con suelo en zonas comunes y dentro del trastero de baldosa. Queda encima mismo de la vivienda. De comunidad se pagan 50 euros. La zona esta muy bien comunicada, tiene al lado supermercados, colegios, centro deportivo San Diego, Parque para pasear y poder si se quiere ir en bicicleta, etc. No lo dude y visítelo, como inversión es ideal.  Estaremos encantados de enseñárselo. Este anuncio no es vinculante, puede contener errores. Se muestra a titulo informativo y no contractual.",False,good,False,True,1429.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña","Piso en Avenida de Oza, 222",,,,,,,
7,98671983,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/47/55/1019981823.jpg,22/071,21,2,299000.0,flat,sale,167.0,True,4,2,Calle Mendaña de Neyra,A Coruña,A Coruña,Someso - Matogrande,es,43.3421674,-8.4110533,False,https://www.idealista.com/inmueble/98671983/,4035,"Entrando en nuestra página web podrás ver la ficha técnica con todos los datos del inmueble y un plano de distribución con los metros cuadrados de cada estancia. También podrás almacenar una búsqueda y recibirás cada semana en tu email los inmuebles que se adapten a tus criterios. CALLE MENDAÑA DE NEYRA (ELVIÑA - BARRIO DE LAS FLORES). - [X] dormitorios, [X] habitaciones italianas, salón, cocina y baño. Es un 2 con ascensor con capacidad para cuatro personas y tiene [X] escalones para acceder a él desde el portal. El salón y el dormitorio principal dan a la calle y el resto a patio de luces, excepto los baños que son interiores. El piso está reformado casi por completo y queda con los muebles (tal y como se ve en las fotografías). Nuestros asesores inmobiliarios están especializados por zonas para poder darle el mejor servicio y que el inmueble que usted compre esté a un precio de mercado adecuado. Además verificamos todos los datos de los inmuebles (metros, antigüedad, calidades, etc. ) y con cada visita le entregamos una ficha (con todas las características, un plano, información de la zona y los gastos adicionales al precio de compra). Horario de 10.00 a 14.00 y de 16.00 a 20.00 de lunes a viernes. Este anuncio no es vinculante (puede contener errores). Se muestra a título informativo y no contractual.",False,good,False,True,1790.0,True,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Piso en Calle Mendaña de Neyra,True,True,,,,,
8,98548994,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/a3/5f/1016031199.jpg,,13,5,150000.0,flat,sale,80.0,True,3,2,barrio Falperra-Santa Lucía,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3594232,-8.4108578,False,https://www.idealista.com/inmueble/98548994/,2223,"Os presentamos esta céntrica y soleada vivienda de tres habitaciones todo exterior con ascensor.  Gran recibidor, amplia cocina luminosa con balcón, habitación para cama individual y armario empotrado. Sigue un práctico espacio de lavandería y almacenaje que podría convertirse en un segundo baño. Justo al lado tenemos el baño completo.   La vivienda cuenta con un amplio salón con grandes ventanales y muy luminoso. Una espaciosa habitación junto al salón, así como un dormitorio doble con mucha luz y espacio para almacenaje.  Además, el edificio dispone de ascensor recientemente instalado y con portal totalmente reformado y SIN BARRERAS ARQUITECTÓNICAS. En cuanto a la zona, se encuentra a dos pasos de Juan Flórez, del parque de Santa Margarita y de todos los servicios alrededor, sin necesidad de utilizar el coche para ningún tipo de actividad. Para más información o para concertar una cita, le atendemos en nuestra oficina, ubicada en Av de Oza 48. Características básicas  80 m² construidos  3 habitaciones  2 baños  Segunda mano/buen estado  Armarios empotrados  Orientación sur  Calefacción individual: Gas Certificación energética: (100 kWh/m² año)  Acceso adaptado a personas con movilidad reducida.",False,good,False,True,1875.0,True,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña",Piso,,,,,Falperra-Santa Lucía,,
9,93642827,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/ba/36/868093844.jpg,3969B,21,5,110000.0,flat,sale,60.0,False,2,1,"Calle Pedroso, 15",A Coruña,A Coruña,Os Mallos,es,43.3529078,-8.4140915,True,https://www.idealista.com/inmueble/93642827/,2990,"Se vende 5º piso reformado a estrenar en Calle Pedroso, zona Mallos-Vioño. Se trata de un atico interior luminoso con amplio ascensor en edificio con nuevo portal adaptado. Sus 60 m2 se distribuyen en salon, nueva cocina totalmente equipada con office-comedor, 2 buenos dormitorios y baño completo con ducha. Recien reformado con buenas calidades, ventanas climalit, instalaciones nuevas, tarima... El ascensor de 6 plazas es nuevo y el edificio se ha adaptado a personas con movilidad reducida. Buena zona, al lado del centro de Salud, Parque de Vioño y todos los servicios. inmotk. com.",True,good,False,True,1833.0,False,False,False,False,False,False,flat,"Os Mallos, A Coruña","Piso en Calle Pedroso, 15",,,,,,,
