,propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,externalReference,neighborhood,parkingSpace.parkingSpacePrice,labels,newDevelopmentFinished
0,95334761,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/94/56/1041644812.jpg,18,2,190000.0,flat,sale,93.0,True,4,2,Oza,A Coruña,A Coruña,Los Castros - Castrillón,es,43.3543389,-8.3934184,False,https://www.idealista.com/inmueble/95334761/,2586,Piso en edificio totalmente rehabilitado con máximas calidades y diseñado por decorador. Área con todos los servicios y bien comunicada. Excelente distribución y luminoso. Una ocasión única de vivir en una zona noble de la Coruña. No dudes en llamar y visitarlo.,False,good,False,False,2043.0,True,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en Oza,,,,,,,,
1,99041337,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/4b/4c/1032154162.jpg,39,4,140000.0,duplex,sale,120.0,True,5,2,Calle Petunias s/n,A Coruña,A Coruña,Someso - Matogrande,es,43.3438931,-8.4019505,True,https://www.idealista.com/inmueble/99041337/,3724,"Desde HOUSE BY CLICK, te presentamos esta MAGNIFICA OPORTUNIDAD como INVERSIÓN en DUPLEX, situado en Calle Petunias, UBICACIÓN OPTIMA, en una zona muy demandada al tener muy cerca el campus de la Universidad de Coruña, así como el campus de Elviña, rodeado con todos los servicios cerca, tiendas, supermercados, buenas comunicaciones de bus, zonas verdes, entre otros. Piso totalmente exterior para REFORMAR muy LUMINOSO por su orientación sureste, compuesto de 2 plantas, con una superficie total construida de 120 m2 aprox. situado en una cuarta planta con ascensor IDEAL COMO INVERSIÓN CON BUENA RENTABILIDAD. Esta vivienda consta de una PLANTA BAJA distribuida en dos habitaciones, un baño completo con plato de ducha que dan servicio al hogar y zona de trastero. PRIMERA PLANTA distribuida en un salón-comedor AMPLIO, una cocina independiente EQUIPADA con todos los ELECTRODOMÉSTICOS y tendedero, tres (3) habitaciones con vistas a la calle, un baño completo con bañera. La vivienda dispone de suelos de baldosa, ventaneria en aluminio y carpintería interior de madera. Plaza de garaje incluida precio, muy próxima al edificio. De comunidad se pagan 57 euros al mes. Desde HOUSE BY CLICK, lo invitamos a realizar una visita, no dudes en contactarnos y tener el gusto de brindarle una mejor información del inmueble. ""Este anuncio se muestra a título informativo y no contractual. "".",False,renew,False,True,1167.0,False,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Dúplex en Calle Petunias s/n,True,True,duplex,,,,,
2,99130874,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/3d/67/1038369983.jpg,1,5,65000.0,flat,sale,60.0,True,3,1,Os Mallos,A Coruña,A Coruña,Os Mallos,es,43.3530455,-8.4072333,False,https://www.idealista.com/inmueble/99130874/,2787,"OPORTUNIDAD! Piso centrico en venta! Al lado de estacion de tren y estacion de autobuses. A un paso de 4 Caminos y centro comercial Corte Ingles.    Piso muy luminoso, Consta de 3 dormitorios, baño, salón, cocina, terraza.    60m². planta 5 sin ascensor.",False,good,False,False,1083.0,True,False,True,False,False,False,flat,"Os Mallos, A Coruña",Piso,,,,,,,,
3,99142116,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/87/eb/1042279695.jpg,19,3,140000.0,duplex,sale,111.0,True,5,2,Calle das Petunias,A Coruña,A Coruña,Someso - Matogrande,es,43.3421105,-8.4043395,False,https://www.idealista.com/inmueble/99142116/,3940,"ATENCION INVERSORES! DUPLEX PARA REFORMAR - BARRIO DE LAS FLORES! REF: 5435 Rias Altas en Calle Petunias. Te presentamos esta luminosa vivienda en el Barrio de las Flores. Se trata de un dúplex de cinco dormitorios dobles y exteriores, dos baños, salón en dos ambientes y cocina independiente y equipada. Buena oportunidad tanto para primera vivienda como para inversión, ya que es una zona muy demandada al tener muy cerca el campus de la Universidad de Coruña. Muy luminoso debido a su orientación, y todo exterior, dando todos los dormitorios a la calle. Edificio en buen estado, con ascensor. Portal con barreras arquitectónicas. Perfectamente comunicado con transporte público y con todos los servicios a un paso tales como centro de salud, supermercados, farmacias, colegios, restaurantes.. . No lo dudes y llámanos para visitar..",True,renew,False,True,1261.0,True,False,False,False,False,False,flat,"Someso - Matogrande, A Coruña",Dúplex en Calle das Petunias,,,duplex,5435A,,,,
4,99023805,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/d2/d0/06/1031747637.jpg,40,4,205000.0,flat,sale,115.0,True,4,2,Falperra,A Coruña,A Coruña,Ensanche - Juan Florez,es,43.3570375,-8.4088361,False,https://www.idealista.com/inmueble/99023805/,2402,"Magnifico piso exterior muy soleado y céntrico! Dispone de 4 Dormitorios, 2 Baños, Salón amplio y Soleado y Cocina muy amplia y soleada, dispone de calefacción, trastero y plaza de garaje. Puerta de seguridad, ascensor, armarios empotrados y ventanas de climalit oscilobatientes. Fachada principal y trasera rehabilitadas. Gran oportunidad!",False,good,False,True,1783.0,False,False,False,False,False,False,flat,"Falperra-Santa Lucía, A Coruña",Piso en Falperra,True,True,,,Falperra-Santa Lucía,,,
5,99167949,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/4d/a2/1035777794.jpg,5,,130000.0,chalet,sale,47.0,False,2,1,"san jaime, 13",A Coruña,A Coruña,Sagrada Familia,es,43.3584388,-8.4135928,True,https://www.idealista.com/inmueble/99167949/,2425,"""AL LADO DEL PARQUE DE STA. MARGARITA"". _ Parcela urbana de 75 metros, que en la actualidad cuenta con casa de 50m² y patio de 25m². Para reformar. Normativa zonal 4b2-Colonias Juan Canalejo: se permite vivienda de sótano+plta. bja+1ª plta+bajo cubierta. Info: LC Inmobiliaria, 881966690.",False,renew,False,,2766.0,False,False,False,False,False,False,chalet,"Sagrada Familia, A Coruña","Chalet adosado en san jaime, 13",,,terracedHouse,Mv_SJ.13,,,,
6,98793767,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/67/c2/1024004205.jpg,26,2,220000.0,flat,sale,97.0,True,3,2,San Amaro,A Coruña,A Coruña,Monte Alto - Zalaeta - Atocha,es,43.3781828,-8.3994858,False,https://www.idealista.com/inmueble/98793767/,125,"Situado en la calle San Amaro, a escasos metros de la Calle La Torre y la Avenida de Navarra, en la zona de Monte Alto.  Se trata de un edificio seminuevo, actualmente distribuido en 3 dormitorios con armario empotrado, dos baños completos (uno con ducha y otro con bañera), salón-comedor y cocina.  Son exteriores a la calle el salón y la cocina, que disponen de vistas hacia el mar; mientras que las habitaciones dan a patio.  Excelente oportunidad de vivienda seminueva, en una zona muy valorada de la ciudad; no dude en concertar una visita con nosotros.",False,good,False,True,2268.0,False,False,False,False,False,False,flat,"Monte Alto - Zalaeta - Atocha, A Coruña",Piso en San Amaro,,,,3486,,,,
7,98970457,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/3d/f3/1029897563.jpg,20,4,145000.0,flat,sale,130.0,True,4,2,C/Vicente Alexander,A Coruña,A Coruña,Los Castros - Castrillón,es,43.3452656,-8.3994407,False,https://www.idealista.com/inmueble/98970457/,3562,"Piso de 4 habitaciones, Salon, Cocina, Dos Baños y Trastero en el corazon de Monelos. Piso para reformar de 130 metros cuadrados con gran potencial y con todos los servicios a su alcance, ideal como inversion o como residencia particular. Oportunidad de compra, por lo inusual de inmubles de este tamaño y por su ubicacion. Existe la posibilidad de comprarlo alquilado si lo desea. Piso muy luminoso, y enorme potencial destacando principalmente el tamaño de las estancias, la totalidad de metros que posee, su orientacion e ubicacion.",False,renew,False,True,1115.0,False,False,False,False,False,False,flat,"Los Castros - Castrillón, A Coruña",Piso en C/Vicente Alexander,,,,,,,,
8,99027121,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/bf/d2/1039399416.jpg,71,2,200000.0,flat,sale,85.0,True,2,2,"Calle José Baldomir, 16",A Coruña,A Coruña,Agra del Orzán - Ventorrillo,es,43.3639831,-8.4192577,True,https://www.idealista.com/inmueble/99027121/,2236,"Enmarcado en un edificio fruto de una rehabilitación integral donde no encontramos barrera arquitectónica alguna, con fachada, tejado, portal y ascensor a estrenar, ocupando toda la segunda planta, hallamos ésta vivienda de dos dormitorios con una rehabilitación de gran calidad. Distribuido en hall, cocina con office, salón, baño general con plato de ducha y dos dormitorios siendo el principal en suite con su baño dentro y amplio vestidor. Destacamos el gusto y los buenos materiales así como su gran dotación de armarios y almacenaje. La calle José Baldomir es una segunda paralela a la Ronda de Nelle a la altura del Paseo de los Puentes de A Coruña. A un paso de la Playa de Riazor ó el centro urbano. Se trata de un barrio consolidado con todos los servicios e infraestructuras del casco urbano. Muy bien comunicado para la entrada y salida de la ciudad a través de la Ronda de Nelle, una de las arterias principales de la ciudad. Ven a conocerlo por que es toda una oportunidad si quieres estrenar vivienda! [IW].",False,good,False,True,2353.0,False,False,False,False,False,False,flat,"Agra del Orzán - Ventorrillo, A Coruña","Piso en Calle José Baldomir, 16",,,,B238,,,,
9,98851674,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/07/c8/87/1034151682.jpg,55,9,299000.0,duplex,sale,146.0,True,4,3,"Emilio González López, 7",A Coruña,A Coruña,Riazor - Los Rosales,es,43.3751031,-8.4344011,True,https://www.idealista.com/inmueble/98851674/,2910,"¡Gran oportunidad de vivienda en este luminoso y soleado dúplex en el barrio de Los Rosales!  Enclavado en una ubicación tranquila y con buena comunicación tanto de entrada y salida de la ciudad de A Coruña, por estar próximo a la 3º Ronda, como hacia el centro de la ciudad, con línea de transporte urbano a pie de calle. Con vistas al mar desde varias de las estancias y próximo al paseo marítimo urbano más largo de Europa, con sus más de 13 Km continuos a la orilla del mar, para poder disfrutar de buenos y largos paseos.  El barrio cuenta con los servicios necesarios para llevar a cabo la actividad diaria, centros escolares, farmacias, centro de salud, centro comercial, parques.. . El inmueble se distribuye en dos plantas: La planta baja de 36 m², consta de una cocina independiente totalmente equipada y zona de lavandería con ventana, un amplio dormitorio con un gran ventanal y un aseo. En la planta superior, con 73 m², nos encontramos con 3 dormitorios, el principal con baño en suite, un amplio salón comedor y baño completo. Desde el dormitorio principal se accede a una terraza cubierta y desde otro de los dormitorios a un espacio a dos alturas para uso de trastero, vestidor.. . Todas las habitaciones disponen de armarios empotrados.  Destaca su gran luminosidad. Se comercializa con un trastero, muy cómodo por estar situado en la misma planta del inmueble, con gran servicio y luz, ya que dispone de una ventana. Se incluye también una plaza de garaje situada en el sótano -2 del edificio, con fácil acceso de aparcamiento y salida directa a la calle Alcalde Suárez Ferrín, que bordea la Plaza Elíptica del barrio.  No pierdas la ocasión de conocer este inmueble, ¡puede ser lo que estás buscando!",False,good,False,True,2048.0,True,False,True,False,False,False,flat,"Riazor - Los Rosales, A Coruña","Dúplex en Emilio González López, 7",True,True,duplex,OKC-02192,,,,
